# slug: afi-100-movies
# name: AFI: 100 Movies
# curator: American Film Institute
# published: 2007
# source: https://www.afi.com/afis-100-years-100-movies-10th-anniversary-edition/
# ordered: true
1	Citizen Kane	Orson Welles		1941
2	The Godfather	Francis Ford Coppola		1972
3	Casablanca	Michael Curtiz		1942
4	Raging Bull	Martin Scorsese		1980
5	Singin' in the Rain	Gene Kelly, Stanley Donen		1952
6	Gone with the Wind	Victor Fleming, Sam Wood, George Cukor, Chester Franklin, James Fitzpatrick		1939
7	Lawrence of Arabia	David Lean		1962
8	Schindler's List	Steven Spielberg		1993
9	Vertigo	Alfred Hitchcock		1958
10	The Wizard of Oz	Victor Fleming, King Vidor		1939
11	City Lights	Charles Chaplin		1931
12	The Searchers	John Ford		1956
13	Star Wars	George Lucas		1977
14	Psycho	Alfred Hitchcock		1960
15	2001: A Space Odyssey	Stanley Kubrick		1968
16	Sunset Blvd.	Billy Wilder		1950
17	The Graduate	Mike Nichols		1967
18	The General	Buster Keaton, Clyde Bruckman		1926
19	On the Waterfront	Elia Kazan		1954
20	It's a Wonderful Life	Frank Capra		1946
21	Chinatown	Roman Polanski		1974
22	Some Like It Hot	Billy Wilder		1959
23	The Grapes of Wrath	John Ford		1940
24	E.T.:  The Extra-Terrestrial	Steven Spielberg		1982
25	To Kill a Mockingbird	Robert Mulligan		1962
26	Mr. Smith Goes to Washington	Frank Capra		1939
27	High Noon	Fred Zinnemann		1952
28	All About Eve	Joseph L. Mankiewicz		1950
29	Double Indemnity	Billy Wilder		1944
30	Apocalypse Now	Francis Coppola		1979
31	The Maltese Falcon	John Huston		1941
32	The Godfather Part II	Francis Ford Coppola		1974
33	One Flew Over the Cuckoo's Nest	Milos Forman		1975
34	Snow White and the Seven Dwarfs			1937
35	Annie Hall	Woody Allen		1977
36	The Bridge on the River Kwai	David Lean		1957
37	The Best Years of Our Lives	William Wyler		1946
38	The Treasure of the Sierra Madre	John Huston		1948
39	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	Stanley Kubrick		1964
40	The Sound of Music	Robert Wise		1965
41	King Kong	Merian C. Cooper, Ernest B. Schoedsack		1933
42	Bonnie and Clyde	Arthur Penn		1967
43	Midnight Cowboy	John Schlesinger		1969
44	The Philadelphia Story	George Cukor		1940
45	Shane	George Stevens		1953
46	It Happened One Night	Frank Capra		1934
47	A Streetcar Named Desire	Elia Kazan		1951
48	Rear Window	Alfred Hitchcock		1954
49	Intolerance	D. W. Griffith		1916
50	The Lord of the Rings: The Fellowship of the Ring	Peter Jackson		2001
51	West Side Story	Robert Wise, Jerome Robbins		1961
52	Taxi Driver	Martin Scorsese		1976
53	The Deer Hunter	Michael Cimino		1978
54	M*A*S*H	Robert Altman		1970
55	North by Northwest	Alfred Hitchcock		1959
56	Jaws	Steven Spielberg		1975
57	Rocky	John G. Avildsen		1976
58	The Gold Rush	Charlie Chaplin		1925
59	Nashville	Robert Altman		1975
60	Duck Soup	Leo McCarey		1933
61	Sullivan's Travels	Preston Sturges		1941
62	American Graffiti	George Lucas		1973
63	Cabaret	Bob Fosse		1972
64	Network	Sidney Lumet		1976
65	The African Queen	John Huston		1951
66	Raiders of the Lost Ark	Steven Spielberg		1981
67	Who's Afraid of Virginia Woolf?	Mike Nichols		1966
68	Unforgiven	Clint Eastwood		1992
69	Tootsie	Sydney Pollack		1982
70	A Clockwork Orange	Stanley Kubrick		1971
71	Saving Private Ryan	Steven Spielberg		1998
72	The Shawshank Redemption	Frank Darabont		1994
73	Butch Cassidy and the Sundance Kid	George Roy Hill		1969
74	The Silence of the Lambs	Jonathan Demme		1991
75	In the Heat of the Night	Norman Jewison		1967
76	Forrest Gump	Robert Zemeckis		1994
77	All the President's Men	Alan J. Pakula		1976
78	Modern Times	Charlie Chaplin		1936
79	The Wild Bunch	Sam Peckinpah		1969
80	The Apartment	Billy Wilder		1960
81	Spartacus	Stanley Kubrick, Anthony Mann		1960
82	Sunrise:  A Song of Two Humans	F. W. Murnau		1927
83	Titanic	James Cameron		1997
84	Easy Rider	Dennis Hopper		1969
85	A Night at the Opera	Sam Wood		1935
86	Platoon	Oliver Stone		1986
87	12 Angry Men	Sidney Lumet		1957
88	Bringing Up Baby	Howard Hawks		1938
89	The Sixth Sense	M. Night Shyamalan		1999
90	Swing Time	George Stevens		1936
91	Sophie's Choice	Alan J. Pakula		1982
92	Goodfellas	Martin Scorsese		1990
93	The French Connection	William Friedkin		1971
94	Pulp Fiction	Quentin Tarantino		1994
95	The Last Picture Show	Peter Bogdanovich		1971
96	Do the Right Thing	Spike Lee		1989
97	Blade Runner	Ridley Scott		1982
98	Yankee Doodle Dandy	Michael Curtiz		1942
99	Toy Story	John Lasseter		1995
100	Ben-Hur	William Wyler		1959
