title	year	director
Faster, Pussycat! Kill! Kill!	1965	Russ Meyer
Coffy	1973	Jack Hill
Switchblade Sisters	1975	Jack Hill
Motorpsycho!	1965	Russ Meyer
Beyond the Valley of the Dolls	1970	Russ Meyer
Foxy Brown	1974	Jack Hill
Death Race 2000	1975	Paul Bartel
The Trip	1967	Roger Corman
Spider Baby	1967	Jack Hill
Blood Feast	1963	Herschell Gordon Lewis
The Texas Chain Saw Massacre	1974	Tobe Hooper
The Little Shop of Horrors	1960	Roger Corman
The Abominable Dr. Phibes	1971	Robert Fuest
Black Christmas	1974	Bob Clark
Piranha	1978	Joe Dante
