# slug: bbc-comedies-100
# name: BBC: 100 Comedies
# curator: BBC Culture
# published: 2017
# source: https://www.bbc.com/culture/article/20170821-the-100-greatest-comedies-of-all-time
# ordered: true
1	Some Like It Hot	Billy Wilder
2	Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb	Stanley Kubrick
3	Annie Hall	Woody Allen
4	Groundhog Day	Harold Ramis
5	Duck Soup	Leo McCarey
6	Life of Brian	Terry Jones
7	Airplane!	Jim Abrahams, David Zucker and Jerry Zucker
8	Playtime	Jacques Tati
9	This Is Spinal Tap	Rob Reiner
10	The General	Clyde Bruckman and Buster Keaton
11	The Big Lebowski	Joel and Ethan Coen
12	Modern Times	Charlie Chaplin
13	To Be or Not To Be	Ernst Lubitsch
14	His Girl Friday	Howard Hawks
15	Monty Python and the Holy Grail	Terry Gilliam and Terry Jones
16	The Great Dictator	Charlie Chaplin
17	Bringing Up Baby	Howard Hawks
18	Sherlock Jr	Buster Keaton
19	The Lady Eve	Preston Sturges
20	Blazing Saddles	Mel Brooks
21	City Lights	Charlie Chaplin
22	Young Frankenstein	Mel Brooks
23	The Party	Blake Edwards
24	Withnail and I	Bruce Robinson
25	The Gold Rush	Charlie Chaplin
26	Mon Oncle	Jacques Tati
27	The Apartment	Billy Wilder
28	It Happened One Night	Frank Capra
29	When Harry Met Sally...	Rob Reiner
30	Monsieur Hulot's Holiday	Jacques Tati
31	Tootsie	Sydney Pollack
32	Raising Arizona	Joel and Ethan Coen
33	Anchorman: The Legend of Ron Burgundy	Adam McKay
34	Clueless	Amy Heckerling
35	Singin' in the Rain	Stanley Donen and Gene Kelly
36	A Fish Called Wanda	Charles Crichton and John Cleese
37	Sullivan’s Travels	Preston Sturges
38	The Philadelphia Story	George Cukor
39	A Night at the Opera	Sam Wood and Edmund Goulding
40	The Producers	Mel Brooks
41	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan	Larry Charles
42	The Awful Truth	Leo McCarey
43	M*A*S*H	Robert Altman
44	Bridesmaids	Paul Feig
45	Big Deal on Madonna Street	Mario Monicelli
46	Pulp Fiction	Quentin Tarantino
47	Animal House	John Landis
48	Trouble in Paradise	Ernst Lubitsch
49	The Discreet Charm of the Bourgeoisie	Luis Buñuel
50	Women on the Verge of a Nervous Breakdown	Pedro Almodóvar
51	Seven Chances	Buster Keaton
52	My Man Godfrey	Gregory La Cava
53	The Blues Brothers	John Landis
54	Harold and Maude	Hal Ashby
55	Best in Show	Christopher Guest
56	Broadcast News	James L Brooks
57	Mean Girls	Mark Waters
58	Zelig	Woody Allen
59	Toni Erdmann	Maren Ade
60	Shaun of the Dead	Edgar Wright
61	Team America: World Police	Trey Parker
62	What We Do in the Shadows	Jemaine Clement and Taika Waititi
63	Arsenic and Old Lace	Frank Capra
64	Step Brothers	Adam McKay
65	Caddyshack	Harold Ramis
66	Hot Fuzz	Edgar Wright
67	Sons of the Desert	William A Seiter
68	Ninotchka	Ernst Lubitsch
69	Love and Death	Woody Allen
70	In the Loop	Armando Iannucci
71	The Royal Tenenbaums	Wes Anderson
72	The Naked Gun: From the Files of Police Squad!	David Zucker
73	The Nutty Professor	Jerry Lewis
74	Trading Places	John Landis
75	The Palm Beach Story	Preston Sturges
76	Design for Living	Ernst Lubitsch
77	Divorce Italian Style	Pietro Germi
78	The Princess Bride	Rob Reiner
79	The Dinner Game	Francis Veber
80	Office Space	Mike Judge
81	There's Something About Mary	Bobby and Peter Farrelly
82	Top Secret!	Jim Abrahams, David Zucker and Jerry Zucker
83	Safety Last!	Fred C Newmeyer and Sam Taylor
84	Waiting for Guffman	Christopher Guest
85	Amarcord	Federico Fellini
86	Kind Hearts and Coronets	Robert Hamer
87	Gentlemen Prefer Blondes	Howard Hawks
88	Zoolander	Ben Stiller
89	Daisies	Vera Chytilová
90	A New Leaf	Elaine May
91	What's Up, Doc?	Peter Bogdanovich
92	The Exterminating Angel	Luis Buñuel
93	South Park: Bigger, Longer & Uncut	Trey Parker
94	Rushmore	Wes Anderson
95	Ghostbusters	Ivan Reitman
96	Born Yesterday	George Cukor
97	The Music Box	James Parrott
98	The Hangover	Todd Phillips
99	The Jerk	Carl Reiner
100	The King of Comedy	Martin Scorsese
100	The Ladies Man	Jerry Lewis
