# slug: bergan-100
# name: The Film Book Top 100
# curator: Ronald Bergan
# published: 2011
# source: https://www.imdb.com/list/ls027443221/
# ordered: true
1	The Birth of a Nation	D.W. Griffith	tt0004972
2	The Cabinet of Dr. Caligari	Robert Wiene	tt0010323
3	Nosferatu	F.W. Murnau	tt0013442
4	Nanook of the North	Robert J. Flaherty	tt0013427
5	Battleship Potemkin	Sergei Eisenstein	tt0015648
6	Metropolis	Fritz Lang	tt0017136
7	Napoleon	Abel Gance	tt0018192
8	The Passion of Joan of Arc	Carl Theodor Dreyer	tt0019254
9	Un chien andalou	Luis Buñuel	tt0020530
10	All Quiet on the Western Front	Lewis Milestone	tt0020629
11	The Blue Angel	Josef von Sternberg	tt0020697
12	City Lights	Charles Chaplin	tt0021749
13	42nd Street	Lloyd Bacon	tt0024034
14	Duck Soup	Leo McCarey	tt0023969
15	King Kong	Merian C. Cooper	tt0024216
16	L'Atalante	Jean Vigo	tt0024844
17	Snow White and the Seven Dwarfs	William Cottrell	tt0029583
18	Olympia Part One: Festival of the Nations	Leni Riefenstahl	tt0030522
19	The Rules of the Game	Jean Renoir	tt0031885
20	Gone with the Wind	Victor Fleming	tt0031381
21	The Philadelphia Story	George Cukor	tt0032904
22	His Girl Friday	Howard Hawks	tt0032599
23	The Grapes of Wrath	John Ford	tt0032551
24	Citizen Kane	Orson Welles	tt0033467
25	The Maltese Falcon	John Huston	tt0033870
26	The Little Foxes	William Wyler	tt0033836
27	To Be or Not to Be	Ernst Lubitsch	tt0035446
28	In Which We Serve	Noël Coward	tt0034891
29	Casablanca	Michael Curtiz	tt0034583
30	Obsession	Luchino Visconti	tt0035160
31	Children of Paradise	Marcel Carné	tt0037674
32	A Matter of Life and Death	Michael Powell	tt0038733
33	It's a Wonderful Life	Frank Capra	tt0038650
34	Passport to Pimlico	Henry Cornelius	tt0041737
35	The Third Man	Carol Reed	tt0041959
36	Orpheus	Jean Cocteau	tt0041719
37	Rashomon	Akira Kurosawa	tt0042876
38	Singin' in the Rain	Stanley Donen	tt0045152
39	Tokyo Story	Yasujirō Ozu	tt0046438
40	On the Waterfront	Elia Kazan	tt0047296
41	All That Heaven Allows	Douglas Sirk	tt0047811
42	Rebel Without a Cause	Nicholas Ray	tt0048545
43	Pather Panchali	Satyajit Ray	tt0048473
44	The Night of the Hunter	Charles Laughton	tt0048424
45	The Seventh Seal	Ingmar Bergman	tt0050976
46	Vertigo	Alfred Hitchcock	tt0052357
47	Ashes and Diamonds	Andrzej Wajda	tt0052080
48	Some Like It Hot	Billy Wilder	tt0053291
49	The 400 Blows	François Truffaut	tt0053198
50	Breathless	Jean-Luc Godard	tt0053472
51	La Dolce Vita	Federico Fellini	tt0053779
52	Saturday Night and Sunday Morning	Karel Reisz	tt0054269
53	L'Avventura	Michelangelo Antonioni	tt0053619
54	Last Year at Marienbad	Alain Resnais	tt0054632
55	Lawrence of Arabia	David Lean	tt0056172
56	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	Stanley Kubrick	tt0057012
57	The Sound of Music	Robert Wise	tt0059742
58	The Battle of Algiers	Gillo Pontecorvo	tt0058946
59	Andrei Rublev	Andrei Tarkovsky	tt0060107
60	Chelsea Girls	Paul Morrissey	tt0061465
61	Bonnie and Clyde	Arthur Penn	tt0061418
62	The Wild Bunch	Sam Peckinpah	tt0065214
63	Easy Rider	Dennis Hopper	tt0064276
64	The Conformist	Bernardo Bertolucci	tt0065571
65	The Godfather	Francis Ford Coppola	tt0068646
66	Aguirre, the Wrath of God	Werner Herzog	tt0068182
67	Nashville	Robert Altman	tt0073440
68	In the Realm of the Senses	Nagisa Ōshima	tt0074102
69	Taxi Driver	Martin Scorsese	tt0075314
70	Annie Hall	Woody Allen	tt0075686
71	Star Wars: Episode IV - A New Hope	George Lucas	tt0076759
72	The Deer Hunter	Michael Cimino	tt0077416
73	The Marriage of Maria Braun	Rainer Werner Fassbinder	tt0079095
74	E.T. the Extra-Terrestrial	Steven Spielberg	tt0083866
75	Blade Runner	Ridley Scott	tt0083658
76	Paris, Texas	Wim Wenders	tt0087884
77	Heimat Fragments: The Women	Edgar Reitz	tt0810894
78	Come and See	Elem Klimov	tt0091251
79	Blue Velvet	David Lynch	tt0090756
80	Shoah	Claude Lanzmann	tt0090015
81	A Room with a View	James Ivory	tt0091867
82	Women on the Verge of a Nervous Breakdown	Pedro Almodóvar	tt0095675
83	Cinema Paradiso	Giuseppe Tornatore	tt0095765
84	Do the Right Thing	Spike Lee	tt0097216
85	Raise the Red Lantern	Yimou Zhang	tt0101640
86	Unforgiven	Clint Eastwood	tt0105695
87	Reservoir Dogs	Quentin Tarantino	tt0105236
88	Three Colors: White	Krzysztof Kieślowski	tt0111507
89	Three Colors: Blue	Krzysztof Kieślowski	tt0108394
90	Three Colors: Red	Krzysztof Kieślowski	tt0111495
91	Through the Olive Trees	Abbas Kiarostami	tt0111845
92	Four Weddings and a Funeral	Mike Newell	tt0109831
93	Toy Story	John Lasseter	tt0114709
94	Fargo	Joel Coen	tt0116282
95	Crouching Tiger, Hidden Dragon	Ang Lee	tt0190332
96	In the Mood for Love	Wong Kar-Wai	tt0118694
97	Traffic	Steven Soderbergh	tt0181865
98	The Lord of the Rings: The Fellowship of the Ring	Peter Jackson	tt0120737
99	City of God	Kátia Lund	tt0317248
100	Eternal Sunshine of the Spotless Mind	Michel Gondry	tt0338013
