# slug: bfi-100-cult-films
# name: 100 Cult Films (BFI Screen Guides)
# curator: Ernest Mathijs & Xavier Mendik
# published: 2011
# source: https://letterboxd.com/bfi/list/100-cult-films/
# ordered: false
1	The Cabinet of Dr. Caligari	Robert Wiene
2	Häxan	Benjamin Christensen
3	Un Chien Andalou	Luis Buñuel
4	Freaks	Tod Browning
5	Bride of Frankenstein	James Whale
6	Reefer Madness	Louis Gasnier
7	The Wizard of Oz	Victor Fleming
8	Casablanca	Michael Curtiz
9	I Walked with a Zombie	Jacques Tourneur
10	Beauty and the Beast	Jean Cocteau
11	It's a Wonderful Life	Frank Capra
12	Godzilla	Ishirō Honda
13	Invasion of the Body Snatchers	Don Siegel
14	Plan 9 from Outer Space	Edward D. Wood Jr.
15	Flaming Creatures	Jack Smith
16	Two Thousand Maniacs!	Herschell Gordon Lewis
17	The Masque of the Red Death	Roger Corman
18	The Sound of Music	Robert Wise
19	Django	Sergio Corbucci
20	Manos: The Hands of Fate	Harold P. Warren
21	2001: A Space Odyssey	Stanley Kubrick
22	Witchfinder General	Michael Reeves
23	Night of the Living Dead	George A. Romero
24	Invocation of My Demon Brother	Kenneth Anger
25	Beyond the Valley of the Dolls	Russ Meyer
26	El Topo	Alejandro Jodorowsky
27	Daughters of Darkness	Harry Kümel
28	Two-Lane Blacktop	Monte Hellman
29	She Killed in Ecstasy	Jesús Franco
30	Harold and Maude	Hal Ashby
31	Pink Flamingos	John Waters
32	The Harder They Come	Perry Henzell
33	Don't Torture a Duckling	Lucio Fulci
34	Behind the Green Door	Artie Mitchell, Jim Mitchell
35	Thriller: A Cruel Picture	Bo Arne Vibenius
36	The Holy Mountain	Alejandro Jodorowsky
37	Coffy	Jack Hill
38	Enter the Dragon	Robert Clouse
39	Deadly Weapons	Doris Wishman
40	Emmanuelle	Just Jaeckin
41	The Texas Chain Saw Massacre	Tobe Hooper
42	Deep Red	Dario Argento
43	Monty Python and the Holy Grail	Terry Gilliam
44	The Rocky Horror Picture Show	Jim Sharman
45	Welcome Home Brother Charles	Jamaa Fanaka
46	Salò, or the 120 Days of Sodom	Pier Paolo Pasolini
47	Thundercrack!	Curt McDowell
48	The House with Laughing Windows	Pupi Avati
49	Rome, Armed to the Teeth	Umberto Lenzi
50	Suspiria	Dario Argento
51	Eraserhead	David Lynch
52	Star Wars	George Lucas
53	Emanuelle and the Last Cannibals	Joe D'Amato
54	Blue Sunshine	Jeff Lieberman
55	Piranha	Joe Dante
56	Dawn of the Dead	George A. Romero
57	Debbie Does Dallas	Jim Clark
58	The Warriors	Walter Hill
59	The Brood	David Cronenberg
60	Cannibal Holocaust	Ruggero Deodato
61	The Gods Must Be Crazy	Jamie Uys
62	Ms .45	Abel Ferrara
63	Freak Orlando	Ulrike Ottinger
64	The Evil Dead	Sam Raimi
65	Mad Max 2	George Miller
66	Blade Runner	Ridley Scott
67	Café Flesh	Stephen Sayadian
68	Videodrome	David Cronenberg
69	Repo Man	Alex Cox
70	The Toxic Avenger	Michael Herz, Lloyd Kaufman
71	This Is Spinal Tap	Rob Reiner
72	Brazil	Terry Gilliam
73	Re-Animator	Stuart Gordon
74	Withnail & I	Bruce Robinson
75	Dirty Dancing	Emile Ardolino
76	Hellraiser	Clive Barker
77	Near Dark	Kathryn Bigelow
78	Bad Taste	Peter Jackson
79	Nekromantik	Jorg Buttgereit
80	Superstar: The Karen Carpenter Story	Todd Haynes
81	Akira	Katsuhiro Otomo
82	The Vanishing	George Sluizer
83	Lady Terminator	H. Tjut Djalil
84	Tetsuo: The Iron Man	Shinya Tsukamoto
85	The Killer	John Woo
86	Begotten	E. Elias Merhige
87	Edward Scissorhands	Tim Burton
88	Man Bites Dog	Rémy Belvaux, André Bonzel, Benoît Poelvoorde
89	Tank Girl	Rachel Talalay
90	Showgirls	Paul Verhoeven
91	The Big Lebowski	Joel Coen
92	Ring	Hideo Nakata
93	Fight Club	David Fincher
94	Baise-moi	Coralie
95	Ginger Snaps	John Fawcett
96	Donnie Darko	Richard Kelly
97	Ichi the Killer	Takashi Miike
98	The Room	Tommy Wiseau
99	The Lord of the Rings: The Fellowship of the Ring	Peter Jackson
100	In Bruges	Martin McDonagh
