# slug: bfi-100-film-noirs
# name: BFI: 100 Film Noir
# curator: Jim Hillier & Alastair Phillips
# published: 2009
# source: https://www.icheckmovies.com/lists/bfi+100+key+noir+films/peacefulanarchy/
# ordered: false
1	M - Eine Stadt sucht einen Mörder	Fritz Lang
2	La bête humaine	Jean Renoir
3	Le jour se lève	Marcel Carne
4	I Wake Up Screaming	H. Bruce Humberstone
5	The Maltese Falcon	John Huston
6	The Glass Key	Stuart Heisler
7	Journey Into Fear	Norman Foster
8	Double Indemnity	Billy Wilder
9	Laura	Otto Preminger
10	Murder, My Sweet	Edward Dmytryk
11	Phantom Lady	Robert Siodmak
12	Cornered	
13	Detour	Edgar G. Ulmer
14	Fallen Angel	Otto Preminger
15	Mildred Pierce	Michael Curtiz
16	Scarlet Street	Fritz Lang
17	The Big Sleep	Howard Hawks
18	The Blue Dahlia	George Marshall
19	The Chase	Arthur Ripley
20	The Dark Corner	Henry Hathaway
21	Gilda	Charles Vidor
22	The Killers	Robert Siodmak
23	The Postman Always Rings Twice	Tay Garnett
24	Body and Soul	Robert Rossen
25	Born to Kill	Robert Wise
26	Brighton Rock	John Boulting
27	Crossfire	Edward Dmytryk
28	Dark Passage	Delmer Daves
29	Dead Reckoning	John Cromwell
30	Fear in the Night	
31	Kiss of Death	Henry Hathaway
32	The Lady from Shanghai	Orson Welles
33	Lady in the Lake	Robert Montgomery
34	Nightmare Alley	Edmund Goulding
35	Odd Man Out	Carol Reed
36	Out of the Past	Jacques Tourneur
37	Pursued	Raoul Walsh
38	T-Men	Anthony Mann
39	Call Northside 777	Henry Hathaway
40	Cry of the City	Robert Siodmak
41	Force of Evil	Abraham Polonsky
42	He Walked by Night	Alfred L. Werker
43	I Walk Alone	Byron Haskin
44	Pitfall	Andre de Toth
45	Criss Cross	Robert Siodmak
46	The Crooked Way	
47	The Reckless Moment	Max Ophuls
48	They Live by Night	Nicholas Ray
49	The Woman on Pier 13	
50	The Asphalt Jungle	John Huston
51	D.O.A.	Rudolph Mate
52	Gun Crazy	Joseph H. Lewis
53	In a Lonely Place	Nicholas Ray
54	Night and the City	Jules Dassin
55	Side Street	Anthony Mann
56	Sunset Blvd.	Billy Wilder
57	Where the Sidewalk Ends	Otto Preminger
58	He Ran All the Way	
59	The Narrow Margin	Richard Fleischer
60	On Dangerous Ground	Ida Lupino
61	The Big Heat	Fritz Lang
62	The Hitch-Hiker	Ida Lupino
63	Pickup on South Street	Samuel Fuller
64	The Big Combo	Joseph H. Lewis
65	Kiss Me Deadly	Robert Aldrich
66	The Killing	Stanley Kubrick
67	Touch of Evil	Orson Welles
68	Odds Against Tomorrow	Robert Wise
69	Blast of Silence	Allen Baron
70	Quai des Orfèvres	Henri-Georges Clouzot
71	Cronaca di un amore	Michelangelo Antonioni
72	Døden er et kjærtegn	Edith Carlmar
73	Der Verlorene	Peter Lorre
74	Touchez pas au grisbi	Jacques Becker
75	Muerte de un ciclista	Juan Antonio Bardem
76	Du rififi chez les hommes	Jules Dassin
77	C.I.D.	
78	Ascenseur pour l'échafaud	Louis Malle
79	Tirez sur le pianiste	Francois Truffaut
80	Tengoku to jigoku	Akira Kurosawa
81	Le samouraï	Jean-Pierre Melville
82	Point Blank	John Boorman
83	Get Carter	Mike Hodges
84	The Long Goodbye	Robert Altman
85	Suna no utsuwa	
86	Chinatown	Roman Polanski
87	Night Moves	Arthur Penn
88	Taxi Driver	Martin Scorsese
89	Der amerikanische Freund	Wim Wenders
90	The Driver	Walter Hill
91	Devil in a Blue Dress	Carl Franklin
92	Terra Estrangeira	
93	L.A. Confidential	Curtis Hanson
94	Mulholland Dr.	David Lynch
95	I'll Sleep When I'm Dead	
96	Salinui chueok	Joon-Ho Bong
97	36 Quai des Orfèvres	Olivier Marchal
98	Collateral	Michael Mann
99	A History of Violence	David Cronenberg
100	Sin City	Frank Miller
