# slug: bfi-precode-10
# name: BFI: Pre-Code Hollywood
# curator: BFI
# published: 2019
# source: https://www.bfi.org.uk/lists/10-great-pre-code-hollywood-films
# ordered: false
1	The Divorcee	Robert Z. Leonard
2	The Sign of the Cross	Cecil B. DeMille
3	Three on a Match	Mervyn LeRoy
4	Red-Headed Woman	Jack Conway
5	Employees' Entrance	Roy Del Ruth
6	Murders in the Zoo	A. Edward Sutherland
7	Gabriel over the White House	Gregory La Cava
8	The Story of Temple Drake	Stephen Roberts
9	Baby Face	Alfred E. Green
10	Wild Boys of the Road	William A. Wellman
