# slug: listobsession-slapstick
# name: List Obsession: Slapstick
# curator: List Obsession
# published: 2026
# source: https://www.listobsession.com/best-slapstick-movies/
# ordered: true
1	Airplane!			1980
2	The Naked Gun: From the Files of Police Squad!			1988
3	Monty Python and the Holy Grail			1975
4	The General			1926
5	Home Alone			1990
6	Sherlock Jr.			1924
7	Dumb and Dumber			1994
8	The Marathon Family			1982
9	The Gold Rush			1925
10	Caddyshack			1980
11	National Lampoon’s Christmas Vacation			1989
12	Spaceballs			1987
13	Blazing Saddles			1974
14	City Lights			1931
15	Young Frankenstein			1974
16	It’s a Mad Mad Mad Mad World			1963
17	Ace Ventura: When Nature Calls			1995
18	The Great Outdoors			1988
19	A Dog’s Will			2000
20	Bio-Dome			1996
21	Johnny English Reborn			2011
22	Austin Powers: International Man of Mystery			1997
23	Hot Shots! Part Deux			1993
24	Safety Last!			1923
25	The Circus			1928
26	There’s Something About Mary			1998
27	Three Amigos!			1986
28	The Gods Must Be Crazy			1980
29	Tommy Boy			1995
30	The Blues Brothers			1980
31	Happy Gilmore			1996
32	Duck Soup			1933
33	Robin Hood: Men in Tights			1993
34	The Pink Panther			1963
35	My Uncle			1958
36	The Cameraman			1928
37	Drillbit Taylor			2008
38	Meet the Spartans			2008
39	Modern Times			1936
40	Hot Shots!			1991
41	Bill & Ted’s Bogus Journey			1991
42	Police Academy			1984
43	Dirty Rotten Scoundrels			1988
44	The Great Dictator			1940
45	Rat Race			2001
46	Top Secret!			1984
47	The Three Stooges			2012
48	Flubber			1997
49	Ace Ventura: Pet Detective			1994
50	National Lampoon’s Animal House			1978
51	Anchorman: The Legend of Ron Burgundy			2004
52	Night at the Museum			2006
53	The Nutty Professor			1996
54	Kung Fu Hustle			2004
55	Sleeper			1973
56	Drunken Master II			1994
57	George of the Jungle			1997
58	The Money Pit			1986
59	The Mask			1994
60	High Anxiety			1977
61	The Party			1968
62	Liar Liar			1997
63	Hundreds of Beavers			2022
64	Jay and Silent Bob Strike Back			2001
65	Peter Pan Goes Wrong			2016
66	The Producers			1967
67	Super Troopers			2001
68	Spies Like Us			1985
69	A Shot in the Dark			1964
70	Scary Movie			2000
71	Rush Hour			1998
72	National Lampoon’s Loaded Weapon 1			1993
73	Army of Darkness			1992
74	O Brother, Where Art Thou?			2000
75	Pineapple Express			2008
76	The Jerk			1979
77	The Pink Panther Strikes Again			1976
78	Saving Silverman			2001
79	Singin’ in the Rain			1952
80	The World’s End			2013
81	The Waterboy			1998
82	National Lampoon’s European Vacation			1985
83	Kung Pow: Enter the Fist			2002
84	A Charlie Brown Christmas			1965
85	Screwed			2000
86	The Cable Guy			1996
87	The Three Musketeers			1973
88	The Hangover			2009
89	Black Sheep			1996
90	Home Alone 2: Lost in New York			1992
91	The Return of the Pink Panther			1975
92	The Naked Gun 2½: The Smell of Fear			1991
93	Curse of the Pink Panther			1983
94	The Kid			1921
95	History of the World: Part I			1981
96	National Lampoon’s Vacation			1983
97	Animal Crackers			1930
98	A Day at the Races			1937
99	The Campaign			2012
100	Wayne’s World			1992
