# slug: schrader-canon
# name: Paul Schrader: Film Canon
# curator: Paul Schrader
# published: 2006
# source: https://paulschrader.org/articles/pdf/2006-FilmComment_Schrader.pdf
# ordered: true
1	The Rules of the Game	Jean Renoir
2	Tokyo Story	Yasujiro Ozu
3	City Lights	Charles Chaplin
4	Pickpocket	Robert Bresson
5	Metropolis	Fritz Lang
6	Citizen Kane	Orson Welles
7	Orphée	Jean Cocteau
8	Masculin-Feminin	Jean-Luc Godard
9	Persona	Ingmar Bergman
10	Vertigo	Alfred Hitchcock
11	Sunrise	F.W. Murnau
12	The Searchers	John Ford
13	The Lady Eve	Preston Sturges
14	The Conformist	Bernardo Bertolucci
15	8 1/2	Federico Fellini
16	The Godfather	Francis Coppola
17	In the Mood for Love	Wong Kar Wai
18	The Third Man	Carol Reed
19	Performance	Donald Cammell/Nicolas Roeg
20	La Notte	Michelangelo Antonioni
21	Mother and Son	Alexander Sokurov
22	The Leopard	Luchino Visconti
23	The Dead	John Huston
24	2001: A Space Odyssey	Stanley Kubrick
25	Last Year at Marienbad	Alain Resnais
26	The Passion of Joan of Arc	Carl Dreyer
27	Jules and Jim	François Truffaut
28	The Wild Bunch	Sam Peckinpah
29	All That Jazz	Bob Fosse
30	The Life of Oharu	Kenji Mizoguchi
31	High and Low	Akira Kurosawa
32	Sweet Smell of Success	Alexander Mackendrick
33	That Obscure Object of Desire	Luis Buñuel
34	An American in Paris	Vincente Minnelli
35	Voyage to Italy	Roberto Rossellini
36	Taxi Driver	Martin Scorsese
37	Ali: Fear Eats the Soul	Rainer Werner Fassbinder
38	Blue Velvet	David Lynch
39	Crimes and Misdemeanors	Woody Allen
40	The Big Lebowski	Joel Coen
41	The Red Shoes	Michael Powell & Emeric Pressburger
42	Singin’ in the Rain	Stanley Donen & Gene Kelly
43	Chinatown	Roman Polanski
44	The Crowd	King Vidor
45	Sunset Boulevard	Billy Wilder
46	Talk to Her	Pedro Almodóvar
47	Shanghai Express	Josef von Sternberg
48	Letter from an Unknown Woman	Max Ophüls
49	Once Upon a Time in the West	Sergio Leone
50	Salvatore Giuliano	Francesco Rosi
51	Nostalghia	Andrei Tarkovsky
52	Seven Men From Now	Budd Boetticher
53	Claire’s Knee	Eric Rohmer
54	Earth	Alexander Dovzhenko
55	Gun Crazy	Joseph H. Lewis
56	Out of the Past	Jacques Tourneur
57	Children of Paradise	Marcel Carné
58	The Naked Spur	Anthony Mann
59	A Place in the Sun	George Stevens
60	The General	Buster Keaton
