# slug: sight-and-sound-1992-directors
# name: The Greatest Films of All Time (Directors' Poll)
# curator: Sight & Sound
# published: 1992
# source: https://www.bfi.org.uk/sight-and-sound/polls/greatest-films-all-time/1992
# ordered: true
1	Citizen Kane	Orson Welles
=2	8½	Federico Fellini
=2	Raging Bull	Martin Scorsese
4	La strada	Federico Fellini
5	L’Atalante	Jean Vigo
=6	The Godfather	Francis Ford Coppola
=6	Modern Times	Charles Chaplin
=6	Vertigo	Alfred Hitchcock
=9	The Godfather Part II	Francis Ford Coppola
=9	The Passion of Joan of Arc	Carl Dreyer
=9	Rashomon	Kurosawa Akira
=9	Seven Samurai	Kurosawa Akira
