# slug: sight-and-sound-2022
# name: The Greatest Films of All Time
# curator: Sight & Sound
# published: 2022
# source: https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time
# ordered: true
1	Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles	Chantal Akerman
2	Vertigo	Alfred Hitchcock
3	Citizen Kane	Orson Welles
4	Tokyo Story	Yasujirō Ozu
5	In the Mood for Love	Wong Kar Wai
6	2001: A Space Odyssey	Stanley Kubrick
7	Beau travail	Claire Denis
8	Mulholland Dr.	David Lynch
9	Man with a Movie Camera	Dziga Vertov
10	Singin' in the Rain	Gene Kelly, Stanley Donen
11	Sunrise A Song of Two Humans	F.W. Murnau
12	The Godfather	Francis Ford Coppola
13	La Règle du jeu	Jean Renoir
14	Cléo from 5 to 7	Agnès Varda
15	The Searchers	John Ford
16	Meshes of the Afternoon	Maya Deren, Alexander Hackenschmied
17	Close-up	Abbas Kiarostami
18	Persona	Ingmar Bergman
19	Apocalypse Now	Francis Ford Coppola
20	Seven Samurai	Akira Kurosawa
=21	The Passion of Joan of Arc	Carl Th. Dreyer
=21	Late Spring	Yasujirō Ozu
23	Playtime	Jacques Tati
24	Do the Right Thing	Spike Lee
=25	Au hasard Balthazar	Robert Bresson
=25	The Night of the Hunter	Charles Laughton
27	Shoah	Claude Lanzmann
28	Daisies	Věra Chytilová
29	Taxi Driver	Martin Scorsese
30	Portrait of a Lady on Fire	Céline Sciamma
=31	Mirror	Andrei Tarkovsky
=31	Psycho	Alfred Hitchcock
=31	8½	Federico Fellini
34	L'Atalante	Jean Vigo
35	Pather Panchali	Satyajit Ray
=36	City Lights	Charles Chaplin
=36	M	Fritz Lang
=38	Some Like It Hot	Billy Wilder
=38	À bout de souffle	Jean-Luc Godard
=38	Rear Window	Alfred Hitchcock
=41	Bicycle Thieves	Vittorio De Sica
=41	Rashomon	Akira Kurosawa
=43	Killer of Sheep	Charles Burnett
=43	Stalker	Andrei Tarkovsky
=45	The Battle of Algiers	Gillo Pontecorvo
=45	North by Northwest	Alfred Hitchcock
=45	Barry Lyndon	Stanley Kubrick
=48	Wanda	Barbara Loden
=48	Ordet	Carl Th. Dreyer
=50	The 400 Blows	François Truffaut
=50	The Piano	Jane Campion
=52	Fear Eats the Soul	Rainer Werner Fassbinder
=52	News from Home	Chantal Akerman
=54	Blade Runner	Ridley Scott
=54	Battleship Potemkin	Sergei M. Eisenstein
=54	Le Mépris	Jean-Luc Godard
=54	Sherlock Jr.	Buster Keaton
=54	The Apartment	Billy Wilder
59	Sans soleil	Chris Marker
=60	Moonlight	Barry Jenkins
=60	La dolce vita	Federico Fellini
=60	Daughters of the Dust	Julie Dash
=63	Casablanca	Michael Curtiz
=63	GoodFellas	Martin Scorsese
=63	The Third Man	Carol Reed
66	Touki Bouki	Djibril Diop Mambéty
=67	The Gleaners and I	Agnès Varda
=67	La Jetée	Chris Marker
=67	Andrei Rublev	Andrei Tarkovsky
=67	Metropolis	Fritz Lang
=67	The Red Shoes	Michael Powell, Emeric Pressburger
=72	My Neighbour Totoro	Hayao Miyazaki
=72	Journey to Italy	Roberto Rossellini
=72	L'avventura	Michelangelo Antonioni
=75	Imitation of Life	Douglas Sirk
=75	Sansho the Bailiff	Kenji Mizoguchi
=75	Spirited Away	Hayao Miyazaki
=78	Sátántangó	Béla Tarr
=78	A Brighter Summer Day	Edward Yang
=78	Céline and Julie Go Boating	Jacques Rivette
=78	Sunset Blvd.	Billy Wilder
