# slug: sight-and-sound-docs-2014
# name: Sight & Sound: Documentaries
# curator: Sight & Sound
# published: 2014
# source: https://www.bfi.org.uk/sight-and-sound/critics-50-greatest-documentaries-all-time
# ordered: true
1	Man with a Movie Camera	Dziga Vertov
2	Shoah	Claude Lanzmann
3	Sans soleil	Chris Marker
4	Night and Fog	Alain Resnais
5	The Thin Blue Line	Errol Morris
6	Chronicle of a Summer	Jean Rouch & Edgar Morin
7	Nanook of the North	Robert Flaherty
8	The Gleaners and I	Agnès Varda
=9	Dont Look Back	D.A. Pennebaker
=9	Grey Gardens	Albert and David Maysles, Ellen Hovde and Muffie Meyer
11	The Sorrow and the Pity	Marcel Ophüls
=12	Grizzly Man	Werner Herzog
=12	Land without Bread	Luis Buñuel
=12	Nostalgia for the Light	Patricio Guzmán
=15	F for Fake	Orson Welles
=15	The Up Series	Paul Almond (Seven Up!) then Michael Apted
=17	Hoop Dreams	Steve James
=17	West of the Tracks	Wang Bing
=19	The Act of Killing	Joshua Oppenheimer, Christine Cynn and anonymous
=19	The Battle of Chile	Patricio Guzmán
=19	The House is Black	Forough Farrokhzad
=19	Listen to Britain	Humphrey Jennings and Stewart McAllister
23	The Emperor’s Naked Army Marches On	Hara Kazuo
=24	Harlan County U.S.A.	Barbara Kopple
=24	Histoire(s) du Cinèma	Jean-Luc Godard
=24	Salesman	Albert and David Maysles and Charlotte Zwerin
27	Titicut Follies	Frederick Wiseman
=28	Capturing the Friedmans	Andrew Jarecki
=28	Gimme Shelter	Albert and David Maysles and Charlotte Zwerin
30	Leviathan	Lucien Castaing-Taylor and Véréna Paravel
=31	Lessons of Darkness	Werner Herzog
=31	The Quince Tree Sun	Victor Erice
=33	Night Mail	Harry Watt and Basil Wright
=33	Primary	Robert Drew
=35	Crumb	Terry Zwigoff
=35	A Diary for Timothy	Humphrey Jennings
=37	Close-up	Abbas Kiarostami
=37	The Fog of War	Errol Morris
=37	Los Angeles Plays Itself	Thom Andersen
=37	Man on Wire	James Marsh
=37	Moi, un noir	Jean Rouch
=37	Portrait of Jason	Shirley Clarke
=37	À Propos de Nice	Jean Vigo
=37	Roger & Me	Michael Moore
=37	Le Sang des bêtes	Georges Franju
=37	The War Game	Peter Watkins
=47	Culloden	Peter Watkins
=47	Diaries, Notes and Sketches: Walden	Jonas Mekas
=47	D’Est	Chantal Akerman
=47	Handsworth Songs	John Akomfrah
=47	The Hour of the Furnaces	Octavio Getino and Fernando Solanas
=47	Seasons	Artavazd Pelechian
=47	Triumph of the Will	Leni Riefenstahl
=47	Waltz with Bashir	Ari Folman
=47	Welfare	Frederick Wiseman
=47	Workers Leaving the Lumière Factory	Louis and Auguste Lumière
