# slug: swdb-essential-20
# name: Spaghetti Western Database: Essential 20
# curator: Spaghetti Western Database
# published: 2026
# source: https://www.spaghetti-western.net/index.php/Essential_Top_20_Films
# ordered: true
1	THE GOOD, THE BAD AND THE UGLY	Sergio Leone
2	ONCE UPON A TIME IN THE WEST	Sergio Leone
3	FOR A FEW DOLLARS MORE	Sergio Leone
4	THE GREAT SILENCE	Sergio Corbucci
5	THE BIG GUNDOWN	Sergio Sollima
6	A FISTFUL OF DOLLARS	Sergio Leone
7	DJANGO	Sergio Corbucci
8	THE MERCENARY	Sergio Corbucci
9	DEATH RIDES A HORSE	Giulio Petroni
10	DUCK, YOU SUCKER!	Sergio Leone
11	COMPANEROS	Sergio Corbucci
12	FACE TO FACE	Sergio Sollima
13	A BULLET FOR THE GENERAL	Damiano Damiani
14	DAY OF ANGER	Tonino Valerii
15	CEMETERY WITHOUT CROSSES	Robert Hossein
16	KEOMA	Enzo G. Castellari
17	RETURN OF RINGO	Duccio Tessari
18	MY NAME IS NOBODY	Sergio Leone/Tonino Valerii
19	DJANGO KILL, IF YOU LIVE, SHOOT!	Giulio Questi
20	RUN MAN RUN	Sergio Sollima
