# slug: time-dumb-comedies
# name: Time: Dumb Comedies
# curator: Time
# published: 2025
# source: https://time.com/7268965/best-dumb-comedy-movies/
# ordered: false
1	Duck Soup	Leo McCarey
2	Caveman	Carl Gottlieb
3	Step Brothers	Adam McKay
4	Pootie Tang	Louis C.K.
5	Bad Teacher	Jake Kasdan
6	Dumb and Dumber	Peter and Bobby Farrelly
7	Undercover Brother	Malcolm D. Lee
8	Romy and Michele’s High School Reunion	David Mirkin
9	Harold & Kumar Go to White Castle	Danny Leiner
10	The Naked Gun: From the Files of Police Squad!	David Zucker
11	The House Bunny	Fred Wolf
12	Bill & Ted’s Excellent Adventure	Stephen Herek
13	The Jerk	Carl Reiner
14	EuroTrip	Jeff Schaffer
15	Hollywood or Bust	Frank Tashlin
