# slug: timeout-animated
# name: Time Out: Animated
# curator: Time Out
# published: 2026
# source: https://www.timeout.com/film/best-animated-movies
# ordered: true
1	Pinocchio	Ben Sharpsteen, Hamilton Luske, Bill Roberts, Norman Ferguson, Jack Kinney, Wilfred Jackson and T. Hee		1940
2	Spirited Away	Hayao Miyazaki		2001
3	Toy Story	John Lasseter		1995
4	My Neighbor Totoro	Hayao Miyazaki		1988
5	The Incredibles	Brad Bird		2004
6	Dumbo	Ben Sharpsteen, Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts and John Elliotte		1941
7	The Iron Giant	Brad Bird		1999
8	Snow White and the Seven Dwarfs	David Hand, William Cottrell, Wilfred Jackson, Larry Morey, Perce Pearce and Ben Sharpsteen		1937
9	The Nightmare Before Christmas	Henry Selick		1993
10	Fantastic Mr Fox	Wes Anderson		2009
11	Alice	Jan Svankmajer		1988
12	Yellow Submarine	George Dunning		1968
13	Akira	Katsuhiro Ohtomo		1988
14	Fantasia	No less than 11 directors slaved on individual sequences, many without credit.		1940
15	Grave of the Fireflies	Isao Takahata		1988
16	Coraline	Henry Selick		2009
17	Song of the Sea	Tomm Moore		2014
18	It's Such a Beautiful Day	Don Hertzfeldt		2014
19	Wallace & Gromit in The Curse of the Were-Rabbit	Steve Box and Nick Park		2005
20	Who Framed Roger Rabbit	Robert Zemeckis		1988
21	Ratatouille	Brad Bird and Jan Pinkava		2007
22	Up	Pete Docter and Bob Peterson		2009
23	The Triplets of Belleville	Sylvain Chomet		2003
24	Fantastic Planet	René Laloux		1973
25	101 Dalmatians	Clyde Geronimi, Hamilton Luske and Wolfgang Reitherman		1961
26	Bambi	James Algar, Samuel Armstrong, David Hand, Graham Heid, Bill Roberts, Paul Satterfield and Norman Wright		1942
27	Persepolis	Vincent Paronnaud and Marjane Satrapi		2007
28	South Park: Bigger, Longer & Uncut	Trey Parker		1999
29	Watership Down	Martin Rosen		1978
30	Princess Mononoke	Hayao Miyazaki		1997
31	WALL-E	Andrew Stanton		2008
32	The Jungle Book	Wolfgang Reitherman		1967
33	Toy Story 2	John Lasseter, with Ash Brannon and Lee Unkrich		1999
34	Beauty and the Beast	Kirk Wise and Gary Trousdale		1991
35	Toy Story 3	Lee Unkrich		2010
