# slug: timeout-british
# name: Time Out: British Films
# curator: Time Out
# published: 2011
# source: https://web.archive.org/web/20130208092408/http://www.timeout.com/london/feature/886/100-best-british-films-the-full-list
# ordered: true
1	Don't Look Now	Nicolas Roeg		1973
2	The Third Man	Carol Reed		1949
3	Distant Voices, Still Lives	Terence Davies		1988
4	Kes	Ken Loach		1969
5	The Red Shoes	Michael Powell, Emeric Pressburger		1948
6	A Matter of Life and Death	Michael Powell, Emeric Pressburger		1946
7	Performance	Nicolas Roeg, Donald Cammell		1970
8	Kind Hearts and Coronets	Robert Hamer		1949
9	If...	Lindsay Anderson		1968
10	Trainspotting	Danny Boyle		1996
11	Naked	Mike Leigh		1993
12	Brief Encounter	David Lean		1945
13	The 39 Steps	Alfred Hitchcock		1935
14	The Life and Death of Colonel Blimp	Michael Powell, Emeric Pressburger		1943
15	Withnail and I	Bruce Robinson		1987
16	Black Narcissus	Michael Powell, Emeric Pressburger		1947
17	A Canterbury Tale	Michael Powell, Emeric Pressburger		1944
18	The Innocents	Jack Clayton		1961
19	Barry Lyndon	Stanley Kubrick		1975
20	Monty Python's Life of Brian	Terry Jones		1979
21	Nil by Mouth	Gary Oldman		1997
22	Saturday Night and Sunday Morning	Karel Reisz		1960
23	Lawrence of Arabia	David Lean		1962
24	Brazil	Terry Gilliam		1985
25	Great Expectations	David Lean		1946
26	I Know Where I'm Going!	Michael Powell, Emeric Pressburger		1945
27	The Bill Douglas Trilogy	Bill Douglas		1972
28	The Wicker Man	Robin Hardy		1973
29	Peeping Tom	Michael Powell		1960
30	The Ladykillers	Alexander Mackendrick		1955
31	The Lady Vanishes	Alfred Hitchcock		1938
32	Get Carter	Mike Hodges		1971
33	Secrets and Lies	Mike Leigh		1996
34	A Clockwork Orange	Stanley Kubrick		1971
35	The Servant	Joseph Losey		1963
36	The Loneliness of the Long Distance Runner	Tony Richardson		1962
37	It Always Rains on Sunday	Robert Hamer		1947
38	Went the Day Well?	Alberto Cavalcanti		1942
39	London	Patrick Keiller		1994
40	Ratcatcher	Lynne Ramsay		1999
41	Witchfinder General	Michael Reeves		1968
42	Listen to Britain	Humphrey Jennings		1942
43	Fires Were Started	Humphrey Jennings		1941
44	Sabotage	Alfred Hitchcock		1936
45	Repulsion	Roman Polanski		1965
46	The Fallen Idol	Carol Reed		1948
47	Blow-Up	Michelangelo Antonioni		1966
48	Hunger	Steve McQueen		2008
49	Gallivant	Andrew Kötting		1996
50	Culloden	Peter Watkins		1964
51	Local Hero	Bill Forsyth		1983
52	Robinson in Space	Patrick Keiller		1997
53	This Sporting Life	Lindsay Anderson		1963
54	Monty Python and the Holy Grail	Terry Gilliam, Terry Jones		1974
55	Radio-On	Chris Petit		1980
56	Caravaggio	Derek Jarman		1986
57	2001: A Space Odyssey	Stanley Kubrick		1968
58	Gregory's Girl	Bill Forsyth		1981
59	Blackmail	Alfred Hitchcock		1929
60	The Long Good Friday	John Mackenzie		1980
61	Walkabout	Nicolas Roeg		1971
62	Deep End	Jerzy Skolimowski		1970
63	Nuts In May	Mike Leigh		1976
64	Topsy-Turvy	Mike Leigh		1999
65	Dracula	Terence Fisher		1958
66	Wonderland	Michael Winterbottom		1999
67	Whisky Galore!	Alexander Mackendrick		1949
68	Dead of Night	Alberto Cavalcanti, Charles Crichton, Basil Dearden, Robert Hamer		1945
69	Oliver!	Carol Reed		1968
70	Bad Timing	Nicolas Roeg		1980
71	Edvard Munch	Peter Watkins		1974
72	The Long Day Closes	Terence Davies		1992
73	The Man in the White Suit	Alexander Mackendrick		1951
74	Four Weddings and a Funeral	Mike Newell		1994
75	A Room for Romeo Brass	Shane Meadows		1999
76	Penda's Fen	Alan Clarke		1974
77	Piccadilly	EA Dupont		1929
78	Billy Liar	John Schlesinger		1963
79	The Offence	Sidney Lumet		1972
80	Under the Skin	Carine Adler		1997
81	Dr No	Terence Young		1962
82	Orlando	Sally Potter		1993
83	A Cottage on Dartmoor	Anthony Asquith		1929
84	Fish Tank	Andrea Arnold		2009
85	I'm Alright Jack	John Boulting		1959
86	The Bridge on the River Kwai	David Lean		1957
87	Night and the City	Jules Dassin		1950
88	This Is England	Shane Meadows		2006
89	The Go Between	Joseph Losey		1970
90	Blue	Derek Jarman		1993
91	Land and Freedom	Ken Loach		1995
92	Dead Man's Shoes	Shane Meadows		2004
93	Zulu	Cy Endfield		1964
94	24 Hour Party People	Michael Winterbottom		2002
95	London to Brighton	Paul Andrew Williams		2006
96	Theatre of Blood	Douglas Hickox		1973
97	28 Days Later…	Danny Boyle		2002
98	School for Scoundrels	Robert Hamer		1960
99	The Railway Children	Lionel Jeffries		1970
100	In This World	Michael Winterbottom		2002
